# benchmark_mode: publication; auto_calibrated
# cpu_model: AMD Ryzen 9 7900X 12-Core Processor
# rustc: rustc 1.94.1 (e408947bf 2026-03-25)
# git_commit: 87dab8c29948a1a2e11cacc88f49d182bbd2e933
# git_state: dirty
# RUSTFLAGS: -C target-cpu=native
# release_profile: lto=fat, codegen-units=1, panic=abort
# pinned_cpus: 2
# governor: powersave
# turbo: unavailable
# smt: on
# command: ./target/release/sok-zk-friendly-hash-functions --csv
construction,variant,field,t,round_set,rounds,iters,rep,total_ns
gmimc,,bls12_381,3,single,228,16384,0,258870133
gmimc,,bls12_381,4,single,231,16384,0,264896693
gmimc,,bn254,3,single,228,16384,0,250209161
gmimc,,bn254,4,single,231,16384,0,254279626
gmimc,,goldilocks,8,single,68,524288,0,335575302
gmimc,,goldilocks,12,single,93,262144,0,235186181
gmimc,,mersenne31,16,single,158,262144,0,266226138
gmimc,,mersenne31,24,single,335,131072,0,316874180
gmimc,,koalabear,16,single,158,262144,0,304241607
gmimc,,koalabear,24,single,335,131072,0,331329008
gmimc,,babybear,16,single,158,131072,0,245593206
gmimc,,babybear,24,single,335,65536,0,258475215
gmimc2,alpha=8,bls12_381,3,single,63,32768,0,211957640
gmimc2,alpha=8,bls12_381,4,single,64,32768,0,216881971
gmimc2,alpha=8,bn254,3,single,63,32768,0,209605004
gmimc2,alpha=8,bn254,4,single,64,32768,0,212963449
gmimc2,alpha=4,goldilocks,8,single,88,262144,0,292675286
gmimc2,alpha=4,goldilocks,12,single,96,262144,0,360875003
gmimc2,alpha=2,mersenne31,16,single,176,65536,0,201517904
gmimc2,alpha=2,mersenne31,24,single,264,32768,0,226309085
gmimc2,alpha=2,koalabear,16,single,176,131072,0,290215660
gmimc2,alpha=2,koalabear,24,single,264,65536,0,233925345
gmimc2,alpha=2,babybear,16,single,176,131072,0,289951186
gmimc2,alpha=2,babybear,24,single,264,65536,0,233467210
poseidon,,bls12_381,3,single,8+56,16384,0,254076667
poseidon,,bls12_381,4,single,8+56,16384,0,375012327
poseidon,,bn254,3,single,8+56,16384,0,244915300
poseidon,,bn254,4,single,8+56,16384,0,366490325
poseidon,,goldilocks,8,single,8+22,131072,0,333058028
poseidon,,goldilocks,12,single,8+22,65536,0,319112663
poseidon,,mersenne31,16,single,8+14,65536,0,321558813
poseidon,,mersenne31,24,single,8+22,16384,0,225180275
poseidon,,koalabear,16,single,8+20,32768,0,253151829
poseidon,,koalabear,24,single,8+23,16384,0,299381777
poseidon,,babybear,16,single,8+13,65536,0,400577654
poseidon,,babybear,24,single,8+21,16384,0,286436780
poseidon2,,bls12_381,3,single,8+56,65536,0,314966536
poseidon2,,bls12_381,4,single,8+56,32768,0,283722969
poseidon2,,bn254,3,single,8+56,65536,0,308074097
poseidon2,,bn254,4,single,8+56,32768,0,273092487
poseidon2,,goldilocks,8,single,8+22,524288,0,390652179
poseidon2,,goldilocks,12,single,8+22,262144,0,267874577
poseidon2,,mersenne31,16,single,8+14,262144,0,251155669
poseidon2,,mersenne31,24,single,8+22,131072,0,209506741
poseidon2,,koalabear,16,single,8+20,262144,0,283110224
poseidon2,,koalabear,24,single,8+23,131072,0,207894769
poseidon2,,babybear,16,single,8+13,262144,0,305301357
poseidon2,,babybear,24,single,8+21,131072,0,247259489
neptune,,bls12_381,4,single,6+69,32768,0,324858088
neptune,,bn254,4,single,6+69,32768,0,314078687
neptune,,goldilocks,8,single,6+38,262144,0,315846109
neptune,,goldilocks,12,single,6+42,131072,0,303720373
psquarehash,,mersenne31,16,single,52,262144,0,242744694
psquarehash,,mersenne31,24,single,52,262144,0,354877797
psquarehash,,koalabear,16,single,52,262144,0,307671896
psquarehash,,koalabear,24,single,52,131072,0,230494836
psquarehash,,babybear,16,single,52,262144,0,310294305
psquarehash,,babybear,24,single,52,131072,0,231701269
rescue_prime,,bls12_381,3,current,16,1024,0,343110240
rescue_prime,,bls12_381,3,original,14,1024,0,300084580
rescue_prime,,bls12_381,4,current,13,1024,0,373218275
rescue_prime,,bls12_381,4,original,11,1024,0,315873911
rescue_prime,,bn254,3,current,16,1024,0,336591671
rescue_prime,,bn254,3,original,14,1024,0,294471472
rescue_prime,,bn254,4,current,13,1024,0,366037568
