# benchmark_mode: publication; auto_calibrated
# cpu_model: AMD Ryzen 9 7900X 12-Core Processor
# rustc: rustc 1.94.1 (e408947bf 2026-03-25)
# git_commit: 034f65a85002594e7ad8ca6dd70ecf52e1169ff2
# git_state: clean
# RUSTFLAGS: -C target-cpu=native
# release_profile: lto=fat, codegen-units=1, panic=abort
# pinned_cpus: 2
# governor: powersave
# turbo: unavailable
# smt: on
# command: ./target/release/sok-zk-friendly-hash-functions --csv
construction,variant,field,t,round_set,rounds,iters,rep,total_ns
gmimc,,bls12_381,3,single,228,16384,0,261294553
gmimc,,bls12_381,4,single,231,16384,0,269160309
gmimc,,bn254,3,single,228,16384,0,250375032
gmimc,,bn254,4,single,231,16384,0,257306331
gmimc,,goldilocks,8,single,68,524288,0,337279307
gmimc,,goldilocks,12,single,93,262144,0,236861254
gmimc,,mersenne31,16,single,158,262144,0,268308517
gmimc,,mersenne31,24,single,335,131072,0,315274496
gmimc,,koalabear,16,single,158,262144,0,306097530
gmimc,,koalabear,24,single,335,131072,0,330560665
gmimc,,babybear,16,single,158,131072,0,246701448
gmimc,,babybear,24,single,335,65536,0,259885892
gmimc2,alpha=8,bls12_381,3,single,63,32768,0,225428574
gmimc2,alpha=8,bls12_381,4,single,64,32768,0,231499045
gmimc2,alpha=8,bn254,3,single,63,32768,0,220553226
gmimc2,alpha=8,bn254,4,single,64,32768,0,224827500
gmimc2,alpha=4,goldilocks,8,single,88,262144,0,293864074
gmimc2,alpha=4,goldilocks,12,single,96,262144,0,361526900
gmimc2,alpha=2,mersenne31,16,single,176,65536,0,201684232
gmimc2,alpha=2,mersenne31,24,single,264,32768,0,223946796
gmimc2,alpha=2,koalabear,16,single,176,131072,0,291267272
gmimc2,alpha=2,koalabear,24,single,264,65536,0,233524329
gmimc2,alpha=2,babybear,16,single,176,131072,0,290719449
gmimc2,alpha=2,babybear,24,single,264,65536,0,234908245
poseidon,,bls12_381,3,single,8+56,16384,0,255754874
poseidon,,bls12_381,4,single,8+56,16384,0,381463899
poseidon,,bn254,3,single,8+56,16384,0,245005640
poseidon,,bn254,4,single,8+56,16384,0,369957491
poseidon,,goldilocks,8,single,8+22,131072,0,324591973
poseidon,,goldilocks,12,single,8+22,65536,0,310458517
poseidon,,mersenne31,16,single,8+14,65536,0,325811542
poseidon,,mersenne31,24,single,8+22,16384,0,226942202
poseidon,,koalabear,16,single,8+20,32768,0,254456457
poseidon,,koalabear,24,single,8+23,16384,0,303814324
poseidon,,babybear,16,single,8+13,32768,0,202156293
poseidon,,babybear,24,single,8+21,16384,0,287967416
poseidon2,,bls12_381,3,single,8+56,65536,0,316741897
poseidon2,,bls12_381,4,single,8+56,32768,0,286596546
poseidon2,,bn254,3,single,8+56,65536,0,310790728
poseidon2,,bn254,4,single,8+56,32768,0,274340597
